date,home_team,away_team,full_time_result,season,league
2024-11-04,Fulham,Brentford,H,2024-2025,EPL
2024-11-09,Brentford,Bournemouth,H,2024-2025,EPL
2024-11-09,Crystal Palace,Fulham,A,2024-2025,EPL
2024-11-09,West Ham,Everton,D,2024-2025,EPL
2024-11-09,Wolves,Southampton,H,2024-2025,EPL
2024-11-09,Brighton,Man City,H,2024-2025,EPL
2024-11-09,Liverpool,Aston Villa,H,2024-2025,EPL
2024-11-10,Man United,Leicester,H,2024-2025,EPL
2024-11-10,Nott'm Forest,Newcastle,A,2024-2025,EPL
2024-11-10,Tottenham,Ipswich,A,2024-2025,EPL
2024-11-10,Chelsea,Arsenal,D,2024-2025,EPL
2024-11-23,Leicester,Chelsea,A,2024-2025,EPL
2024-11-23,Arsenal,Nott'm Forest,H,2024-2025,EPL
2024-11-23,Aston Villa,Crystal Palace,D,2024-2025,EPL
2024-11-23,Bournemouth,Brighton,A,2024-2025,EPL
2024-11-23,Everton,Brentford,D,2024-2025,EPL
2024-11-23,Fulham,Wolves,A,2024-2025,EPL
2024-11-23,Man City,Tottenham,A,2024-2025,EPL
2024-11-24,Southampton,Liverpool,A,2024-2025,EPL
2024-11-24,Ipswich,Man United,D,2024-2025,EPL
2024-11-25,Newcastle,West Ham,A,2024-2025,EPL
2024-11-29,Brighton,Southampton,D,2024-2025,EPL
2024-11-30,Brentford,Leicester,H,2024-2025,EPL
2024-11-30,Crystal Palace,Newcastle,D,2024-2025,EPL
2024-11-30,Nott'm Forest,Ipswich,H,2024-2025,EPL
2024-11-30,Wolves,Bournemouth,A,2024-2025,EPL
2024-11-30,West Ham,Arsenal,A,2024-2025,EPL
2024-12-01,Chelsea,Aston Villa,H,2024-2025,EPL
2024-12-01,Man United,Everton,H,2024-2025,EPL
2024-12-01,Tottenham,Fulham,D,2024-2025,EPL
2024-12-01,Liverpool,Man City,H,2024-2025,EPL
2024-12-03,Ipswich,Crystal Palace,A,2024-2025,EPL
2024-12-03,Leicester,West Ham,H,2024-2025,EPL
2024-12-04,Everton,Wolves,H,2024-2025,EPL
2024-12-04,Man City,Nott'm Forest,H,2024-2025,EPL
2024-12-04,Newcastle,Liverpool,D,2024-2025,EPL
2024-12-04,Southampton,Chelsea,A,2024-2025,EPL
2024-12-04,Arsenal,Man United,H,2024-2025,EPL
2024-12-04,Aston Villa,Brentford,H,2024-2025,EPL
2024-12-05,Fulham,Brighton,H,2024-2025,EPL
2024-12-05,Bournemouth,Tottenham,H,2024-2025,EPL
2024-12-07,Aston Villa,Southampton,H,2024-2025,EPL
2024-12-07,Brentford,Newcastle,H,2024-2025,EPL
2024-12-07,Crystal Palace,Man City,D,2024-2025,EPL
2024-12-07,Man United,Nott'm Forest,A,2024-2025,EPL
2024-12-08,Fulham,Arsenal,D,2024-2025,EPL
2024-12-08,Ipswich,Bournemouth,A,2024-2025,EPL
2024-12-08,Leicester,Brighton,D,2024-2025,EPL
2024-12-08,Tottenham,Chelsea,A,2024-2025,EPL
2024-12-09,West Ham,Wolves,H,2024-2025,EPL
2024-12-14,Arsenal,Everton,D,2024-2025,EPL
2024-12-14,Liverpool,Fulham,D,2024-2025,EPL
2024-12-14,Newcastle,Leicester,H,2024-2025,EPL
2024-12-14,Wolves,Ipswich,A,2024-2025,EPL
2024-12-14,Nott'm Forest,Aston Villa,H,2024-2025,EPL
2024-12-15,Brighton,Crystal Palace,A,2024-2025,EPL
2024-12-15,Man City,Man United,A,2024-2025,EPL
2024-12-15,Chelsea,Brentford,H,2024-2025,EPL
2024-12-15,Southampton,Tottenham,A,2024-2025,EPL
2024-12-16,Bournemouth,West Ham,D,2024-2025,EPL
2024-12-21,Aston Villa,Man City,H,2024-2025,EPL
2024-12-21,Brentford,Nott'm Forest,A,2024-2025,EPL
2024-12-21,Ipswich,Newcastle,A,2024-2025,EPL
2024-12-21,West Ham,Brighton,D,2024-2025,EPL
2024-12-21,Crystal Palace,Arsenal,A,2024-2025,EPL
2024-12-22,Everton,Chelsea,D,2024-2025,EPL
2024-12-22,Fulham,Southampton,D,2024-2025,EPL
2024-12-22,Leicester,Wolves,A,2024-2025,EPL
2024-12-22,Man United,Bournemouth,A,2024-2025,EPL
2024-12-22,Tottenham,Liverpool,A,2024-2025,EPL
2024-12-26,Man City,Everton,D,2024-2025,EPL
2024-12-26,Bournemouth,Crystal Palace,D,2024-2025,EPL
2024-12-26,Chelsea,Fulham,A,2024-2025,EPL
2024-12-26,Newcastle,Aston Villa,H,2024-2025,EPL
2024-12-26,Nott'm Forest,Tottenham,H,2024-2025,EPL
2024-12-26,Southampton,West Ham,A,2024-2025,EPL
2024-12-26,Wolves,Man United,H,2024-2025,EPL
2024-12-26,Liverpool,Leicester,H,2024-2025,EPL
2024-12-27,Brighton,Brentford,D,2024-2025,EPL
2024-12-27,Arsenal,Ipswich,H,2024-2025,EPL
2024-12-29,Leicester,Man City,A,2024-2025,EPL
2024-12-29,Crystal Palace,Southampton,H,2024-2025,EPL
2024-12-29,Everton,Nott'm Forest,A,2024-2025,EPL
2024-12-29,Fulham,Bournemouth,D,2024-2025,EPL
2024-12-29,Tottenham,Wolves,D,2024-2025,EPL
2024-12-29,West Ham,Liverpool,A,2024-2025,EPL
2024-12-30,Aston Villa,Brighton,D,2024-2025,EPL
2024-12-30,Ipswich,Chelsea,H,2024-2025,EPL
2024-12-30,Man United,Newcastle,A,2024-2025,EPL
2025-01-01,Brentford,Arsenal,A,2024-2025,EPL
2025-01-04,Tottenham,Newcastle,A,2024-2025,EPL
2025-01-04,Aston Villa,Leicester,H,2024-2025,EPL
2025-01-04,Bournemouth,Everton,H,2024-2025,EPL
2025-01-04,Crystal Palace,Chelsea,D,2024-2025,EPL
2025-01-04,Man City,West Ham,H,2024-2025,EPL
2025-01-04,Southampton,Brentford,A,2024-2025,EPL
2025-01-04,Brighton,Arsenal,D,2024-2025,EPL
2025-01-05,Fulham,Ipswich,D,2024-2025,EPL
2025-01-05,Liverpool,Man United,D,2024-2025,EPL
2025-01-06,Wolves,Nott'm Forest,A,2024-2025,EPL
2025-01-14,Brentford,Man City,D,2024-2025,EPL
2025-01-14,Chelsea,Bournemouth,D,2024-2025,EPL
2025-01-14,West Ham,Fulham,H,2024-2025,EPL
2025-01-14,Nott'm Forest,Liverpool,D,2024-2025,EPL
2025-01-15,Everton,Aston Villa,A,2024-2025,EPL
2025-01-15,Leicester,Crystal Palace,A,2024-2025,EPL
2025-01-15,Newcastle,Wolves,H,2024-2025,EPL
2025-01-15,Arsenal,Tottenham,H,2024-2025,EPL
2025-01-16,Ipswich,Brighton,A,2024-2025,EPL
2025-01-16,Man United,Southampton,H,2024-2025,EPL
2025-01-18,Newcastle,Bournemouth,A,2024-2025,EPL
2025-01-18,Brentford,Liverpool,A,2024-2025,EPL
2025-01-18,Leicester,Fulham,A,2024-2025,EPL
2025-01-18,West Ham,Crystal Palace,A,2024-2025,EPL
2025-01-18,Arsenal,Aston Villa,D,2024-2025,EPL
2025-01-19,Everton,Tottenham,H,2024-2025,EPL
2025-01-19,Man United,Brighton,A,2024-2025,EPL
2025-01-19,Nott'm Forest,Southampton,H,2024-2025,EPL
2025-01-19,Ipswich,Man City,A,2024-2025,EPL
2025-01-20,Chelsea,Wolves,H,2024-2025,EPL
2025-01-25,Bournemouth,Nott'm Forest,H,2024-2025,EPL
2025-01-25,Brighton,Everton,A,2024-2025,EPL
2025-01-25,Liverpool,Ipswich,H,2024-2025,EPL
2025-01-25,Southampton,Newcastle,A,2024-2025,EPL
2025-01-25,Wolves,Arsenal,A,2024-2025,EPL
2025-01-25,Man City,Chelsea,H,2024-2025,EPL
2025-01-26,Crystal Palace,Brentford,A,2024-2025,EPL
2025-01-26,Tottenham,Leicester,A,2024-2025,EPL
2025-01-26,Aston Villa,West Ham,D,2024-2025,EPL
2025-01-26,Fulham,Man United,A,2024-2025,EPL
2025-02-01,Nott'm Forest,Brighton,H,2024-2025,EPL
2025-02-01,Bournemouth,Liverpool,A,2024-2025,EPL
2025-02-01,Everton,Leicester,H,2024-2025,EPL
2025-02-01,Ipswich,Southampton,A,2024-2025,EPL
2025-02-01,Newcastle,Fulham,A,2024-2025,EPL
2025-02-01,Wolves,Aston Villa,H,2024-2025,EPL
2025-02-02,Brentford,Tottenham,A,2024-2025,EPL
2025-02-02,Man United,Crystal Palace,A,2024-2025,EPL
2025-02-02,Arsenal,Man City,H,2024-2025,EPL
2025-02-03,Chelsea,West Ham,H,2024-2025,EPL
2025-02-12,Everton,Liverpool,D,2024-2025,EPL
2025-02-14,Brighton,Chelsea,H,2024-2025,EPL
2025-02-15,Leicester,Arsenal,A,2024-2025,EPL
2025-02-15,Aston Villa,Ipswich,D,2024-2025,EPL
2025-02-15,Fulham,Nott'm Forest,H,2024-2025,EPL
2025-02-15,Man City,Newcastle,H,2024-2025,EPL
2025-02-15,Southampton,Bournemouth,A,2024-2025,EPL
2025-02-15,West Ham,Brentford,A,2024-2025,EPL
2025-02-15,Crystal Palace,Everton,A,2024-2025,EPL
2025-02-16,Liverpool,Wolves,H,2024-2025,EPL
2025-02-16,Tottenham,Man United,H,2024-2025,EPL
2025-02-19,Aston Villa,Liverpool,D,2024-2025,EPL
2025-02-21,Leicester,Brentford,A,2024-2025,EPL
2025-02-22,Everton,Man United,D,2024-2025,EPL
2025-02-22,Arsenal,West Ham,A,2024-2025,EPL
2025-02-22,Bournemouth,Wolves,A,2024-2025,EPL
2025-02-22,Fulham,Crystal Palace,A,2024-2025,EPL
2025-02-22,Ipswich,Tottenham,A,2024-2025,EPL
2025-02-22,Southampton,Brighton,A,2024-2025,EPL
2025-02-22,Aston Villa,Chelsea,H,2024-2025,EPL
2025-02-23,Newcastle,Nott'm Forest,H,2024-2025,EPL
2025-02-23,Man City,Liverpool,A,2024-2025,EPL
2025-02-25,Brighton,Bournemouth,H,2024-2025,EPL
2025-02-25,Crystal Palace,Aston Villa,H,2024-2025,EPL
2025-02-25,Wolves,Fulham,A,2024-2025,EPL
2025-02-25,Chelsea,Southampton,H,2024-2025,EPL
2025-02-26,Brentford,Everton,D,2024-2025,EPL
2025-02-26,Man United,Ipswich,H,2024-2025,EPL
2025-02-26,Nott'm Forest,Arsenal,D,2024-2025,EPL
2025-02-26,Tottenham,Man City,A,2024-2025,EPL
2025-02-26,Liverpool,Newcastle,H,2024-2025,EPL
2025-02-27,West Ham,Leicester,H,2024-2025,EPL
2025-03-08,Nott'm Forest,Man City,H,2024-2025,EPL
2025-03-08,Brighton,Fulham,H,2024-2025,EPL
2025-03-08,Crystal Palace,Ipswich,H,2024-2025,EPL
2025-03-08,Liverpool,Southampton,H,2024-2025,EPL
2025-03-08,Brentford,Aston Villa,A,2024-2025,EPL
2025-03-08,Wolves,Everton,D,2024-2025,EPL
2025-03-09,Chelsea,Leicester,H,2024-2025,EPL
2025-03-09,Tottenham,Bournemouth,D,2024-2025,EPL
2025-03-09,Man United,Arsenal,D,2024-2025,EPL
2025-03-10,West Ham,Newcastle,A,2024-2025,EPL
2025-03-15,Everton,West Ham,D,2024-2025,EPL
2025-03-15,Ipswich,Nott'm Forest,A,2024-2025,EPL
2025-03-15,Man City,Brighton,D,2024-2025,EPL
2025-03-15,Southampton,Wolves,A,2024-2025,EPL
2025-03-15,Bournemouth,Brentford,A,2024-2025,EPL
2025-03-16,Arsenal,Chelsea,H,2024-2025,EPL
2025-03-16,Fulham,Tottenham,H,2024-2025,EPL
2025-03-16,Leicester,Man United,A,2024-2025,EPL
2025-04-01,Arsenal,Fulham,H,2024-2025,EPL
2025-04-01,Wolves,West Ham,H,2024-2025,EPL
2025-04-01,Nott'm Forest,Man United,H,2024-2025,EPL
2025-04-02,Bournemouth,Ipswich,A,2024-2025,EPL
2025-04-02,Brighton,Aston Villa,A,2024-2025,EPL
2025-04-02,Man City,Leicester,H,2024-2025,EPL
2025-04-02,Newcastle,Brentford,H,2024-2025,EPL
2025-04-02,Southampton,Crystal Palace,D,2024-2025,EPL
2025-04-02,Liverpool,Everton,H,2024-2025,EPL
2025-04-03,Chelsea,Tottenham,H,2024-2025,EPL
2025-04-05,Everton,Arsenal,D,2024-2025,EPL
2025-04-05,Crystal Palace,Brighton,H,2024-2025,EPL
2025-04-05,Ipswich,Wolves,A,2024-2025,EPL
2025-04-05,West Ham,Bournemouth,D,2024-2025,EPL
2025-04-05,Aston Villa,Nott'm Forest,H,2024-2025,EPL
2025-04-06,Brentford,Chelsea,D,2024-2025,EPL
2025-04-06,Fulham,Liverpool,H,2024-2025,EPL
2025-04-06,Tottenham,Southampton,H,2024-2025,EPL
2025-04-06,Man United,Man City,D,2024-2025,EPL
2025-04-07,Leicester,Newcastle,A,2024-2025,EPL
2025-04-12,Man City,Crystal Palace,H,2024-2025,EPL
2025-04-12,Brighton,Leicester,D,2024-2025,EPL
2025-04-12,Nott'm Forest,Everton,A,2024-2025,EPL
2025-04-12,Southampton,Aston Villa,A,2024-2025,EPL
2025-04-12,Arsenal,Brentford,D,2024-2025,EPL
2025-04-13,Chelsea,Ipswich,D,2024-2025,EPL
2025-04-13,Liverpool,West Ham,H,2024-2025,EPL
2025-04-13,Wolves,Tottenham,H,2024-2025,EPL
2025-04-13,Newcastle,Man United,H,2024-2025,EPL
2025-04-14,Bournemouth,Fulham,H,2024-2025,EPL
2025-04-16,Newcastle,Crystal Palace,H,2024-2025,EPL
2025-04-19,Brentford,Brighton,H,2024-2025,EPL
2025-04-19,Crystal Palace,Bournemouth,D,2024-2025,EPL
2025-04-19,Everton,Man City,A,2024-2025,EPL
2025-04-19,West Ham,Southampton,D,2024-2025,EPL
2025-04-19,Aston Villa,Newcastle,H,2024-2025,EPL
2025-04-20,Fulham,Chelsea,A,2024-2025,EPL
2025-04-20,Ipswich,Arsenal,A,2024-2025,EPL
2025-04-20,Man United,Wolves,A,2024-2025,EPL
2025-04-20,Leicester,Liverpool,A,2024-2025,EPL
2025-04-21,Tottenham,Nott'm Forest,A,2024-2025,EPL
2025-04-22,Man City,Aston Villa,H,2024-2025,EPL
2025-04-23,Arsenal,Crystal Palace,D,2024-2025,EPL
2025-04-26,Chelsea,Everton,H,2024-2025,EPL
2025-04-26,Brighton,West Ham,H,2024-2025,EPL
2025-04-26,Newcastle,Ipswich,H,2024-2025,EPL
2025-04-26,Southampton,Fulham,A,2024-2025,EPL
2025-04-26,Wolves,Leicester,H,2024-2025,EPL
2025-04-27,Bournemouth,Man United,D,2024-2025,EPL
2025-04-27,Liverpool,Tottenham,H,2024-2025,EPL
2025-05-01,Nott'm Forest,Brentford,A,2024-2025,EPL
2025-05-02,Man City,Wolves,H,2024-2025,EPL
2025-05-03,Aston Villa,Fulham,H,2024-2025,EPL
2025-05-03,Everton,Ipswich,D,2024-2025,EPL
2025-05-03,Leicester,Southampton,H,2024-2025,EPL
2025-05-03,Arsenal,Bournemouth,A,2024-2025,EPL
2025-05-04,Brentford,Man United,H,2024-2025,EPL
2025-05-04,Brighton,Newcastle,D,2024-2025,EPL
2025-05-04,West Ham,Tottenham,D,2024-2025,EPL
2025-05-04,Chelsea,Liverpool,H,2024-2025,EPL
2025-05-05,Crystal Palace,Nott'm Forest,D,2024-2025,EPL
2025-05-10,Fulham,Everton,A,2024-2025,EPL
2025-05-10,Ipswich,Brentford,A,2024-2025,EPL
2025-05-10,Southampton,Man City,D,2024-2025,EPL
2025-05-10,Wolves,Brighton,A,2024-2025,EPL
2025-05-10,Bournemouth,Aston Villa,A,2024-2025,EPL
2025-05-11,Newcastle,Chelsea,H,2024-2025,EPL
2025-05-11,Man United,West Ham,A,2024-2025,EPL
2025-05-11,Nott'm Forest,Leicester,D,2024-2025,EPL
2025-05-11,Tottenham,Crystal Palace,A,2024-2025,EPL
2025-05-11,Liverpool,Arsenal,D,2024-2025,EPL
2025-05-16,Aston Villa,Tottenham,H,2024-2025,EPL
2025-05-16,Chelsea,Man United,H,2024-2025,EPL
2025-05-18,Everton,Southampton,H,2024-2025,EPL
2025-05-18,West Ham,Nott'm Forest,A,2024-2025,EPL
2025-05-18,Brentford,Fulham,A,2024-2025,EPL
2025-05-18,Leicester,Ipswich,H,2024-2025,EPL
2025-05-18,Arsenal,Newcastle,H,2024-2025,EPL
2025-05-19,Brighton,Liverpool,H,2024-2025,EPL
2025-05-20,Crystal Palace,Wolves,H,2024-2025,EPL
2025-05-20,Man City,Bournemouth,H,2024-2025,EPL
2025-05-25,Bournemouth,Leicester,H,2024-2025,EPL
2025-05-25,Fulham,Man City,A,2024-2025,EPL
2025-05-25,Ipswich,West Ham,A,2024-2025,EPL
2025-05-25,Liverpool,Crystal Palace,D,2024-2025,EPL
2025-05-25,Man United,Aston Villa,H,2024-2025,EPL
2025-05-25,Newcastle,Everton,A,2024-2025,EPL
2025-05-25,Nott'm Forest,Chelsea,A,2024-2025,EPL
2025-05-25,Southampton,Arsenal,A,2024-2025,EPL
2025-05-25,Tottenham,Brighton,A,2024-2025,EPL
2025-05-25,Wolves,Brentford,D,2024-2025,EPL
2024-08-15,Ath Bilbao,Getafe,D,2024-2025,LaLiga
2024-08-15,Betis,Girona,D,2024-2025,LaLiga
2024-08-16,Celta,Alaves,H,2024-2025,LaLiga
2024-08-16,Las Palmas,Sevilla,D,2024-2025,LaLiga
2024-08-17,Osasuna,Leganes,D,2024-2025,LaLiga
2024-08-17,Valencia,Barcelona,A,2024-2025,LaLiga
2024-08-18,Sociedad,Vallecano,A,2024-2025,LaLiga
2024-08-18,Mallorca,Real Madrid,D,2024-2025,LaLiga
2024-08-19,Valladolid,Espanol,H,2024-2025,LaLiga
2024-08-19,Villarreal,Ath Madrid,D,2024-2025,LaLiga
2024-08-23,Celta,Valencia,H,2024-2025,LaLiga
2024-08-23,Sevilla,Villarreal,A,2024-2025,LaLiga
2024-08-24,Osasuna,Mallorca,H,2024-2025,LaLiga
2024-08-24,Barcelona,Ath Bilbao,H,2024-2025,LaLiga
2024-08-24,Espanol,Sociedad,A,2024-2025,LaLiga
2024-08-24,Getafe,Vallecano,D,2024-2025,LaLiga
2024-08-25,Real Madrid,Valladolid,H,2024-2025,LaLiga
2024-08-25,Leganes,Las Palmas,H,2024-2025,LaLiga
2024-08-25,Alaves,Betis,D,2024-2025,LaLiga
2024-08-25,Ath Madrid,Girona,H,2024-2025,LaLiga
2024-08-26,Villarreal,Celta,H,2024-2025,LaLiga
2024-08-27,Mallorca,Sevilla,D,2024-2025,LaLiga
2024-08-27,Vallecano,Barcelona,A,2024-2025,LaLiga
2024-08-28,Ath Bilbao,Valencia,H,2024-2025,LaLiga
2024-08-28,Valladolid,Leganes,D,2024-2025,LaLiga
2024-08-28,Ath Madrid,Espanol,D,2024-2025,LaLiga
2024-08-28,Sociedad,Alaves,A,2024-2025,LaLiga
2024-08-29,Girona,Osasuna,H,2024-2025,LaLiga
2024-08-29,Las Palmas,Real Madrid,D,2024-2025,LaLiga
2024-08-31,Barcelona,Valladolid,H,2024-2025,LaLiga
2024-08-31,Ath Bilbao,Ath Madrid,A,2024-2025,LaLiga
2024-08-31,Espanol,Vallecano,H,2024-2025,LaLiga
2024-08-31,Leganes,Mallorca,A,2024-2025,LaLiga
2024-08-31,Valencia,Villarreal,D,2024-2025,LaLiga
2024-09-01,Alaves,Las Palmas,H,2024-2025,LaLiga
2024-09-01,Osasuna,Celta,H,2024-2025,LaLiga
2024-09-01,Sevilla,Girona,A,2024-2025,LaLiga
2024-09-01,Getafe,Sociedad,D,2024-2025,LaLiga
2024-09-01,Real Madrid,Betis,H,2024-2025,LaLiga
2024-09-13,Betis,Leganes,H,2024-2025,LaLiga
2024-09-14,Mallorca,Villarreal,A,2024-2025,LaLiga
2024-09-14,Espanol,Alaves,H,2024-2025,LaLiga
2024-09-14,Sevilla,Getafe,H,2024-2025,LaLiga
2024-09-14,Sociedad,Real Madrid,A,2024-2025,LaLiga
2024-09-15,Celta,Valladolid,H,2024-2025,LaLiga
2024-09-15,Girona,Barcelona,A,2024-2025,LaLiga
2024-09-15,Las Palmas,Ath Bilbao,A,2024-2025,LaLiga
2024-09-15,Ath Madrid,Valencia,H,2024-2025,LaLiga
2024-09-16,Vallecano,Osasuna,H,2024-2025,LaLiga
2024-09-17,Mallorca,Sociedad,H,2024-2025,LaLiga
2024-09-18,Betis,Getafe,H,2024-2025,LaLiga
2024-09-19,Leganes,Ath Bilbao,A,2024-2025,LaLiga
2024-09-20,Alaves,Sevilla,H,2024-2025,LaLiga
2024-09-21,Valladolid,Sociedad,D,2024-2025,LaLiga
2024-09-21,Osasuna,Las Palmas,H,2024-2025,LaLiga
2024-09-21,Valencia,Girona,H,2024-2025,LaLiga
2024-09-21,Real Madrid,Espanol,H,2024-2025,LaLiga
2024-09-22,Getafe,Leganes,D,2024-2025,LaLiga
2024-09-22,Ath Bilbao,Celta,H,2024-2025,LaLiga
2024-09-22,Villarreal,Barcelona,A,2024-2025,LaLiga
2024-09-22,Vallecano,Ath Madrid,D,2024-2025,LaLiga
2024-09-23,Betis,Mallorca,A,2024-2025,LaLiga
2024-09-24,Sevilla,Valladolid,H,2024-2025,LaLiga
2024-09-24,Valencia,Osasuna,D,2024-2025,LaLiga
2024-09-24,Real Madrid,Alaves,H,2024-2025,LaLiga
2024-09-25,Girona,Vallecano,D,2024-2025,LaLiga
2024-09-25,Barcelona,Getafe,H,2024-2025,LaLiga
2024-09-26,Espanol,Villarreal,A,2024-2025,LaLiga
2024-09-26,Las Palmas,Betis,D,2024-2025,LaLiga
2024-09-26,Celta,Ath Madrid,A,2024-2025,LaLiga
2024-09-27,Valladolid,Mallorca,A,2024-2025,LaLiga
2024-09-28,Getafe,Alaves,H,2024-2025,LaLiga
2024-09-28,Vallecano,Leganes,D,2024-2025,LaLiga
2024-09-28,Sociedad,Valencia,H,2024-2025,LaLiga
2024-09-28,Osasuna,Barcelona,H,2024-2025,LaLiga
2024-09-29,Celta,Girona,D,2024-2025,LaLiga
2024-09-29,Ath Bilbao,Sevilla,D,2024-2025,LaLiga
2024-09-29,Betis,Espanol,H,2024-2025,LaLiga
2024-09-29,Ath Madrid,Real Madrid,D,2024-2025,LaLiga
2024-09-30,Villarreal,Las Palmas,H,2024-2025,LaLiga
2024-10-04,Leganes,Valencia,D,2024-2025,LaLiga
2024-10-05,Espanol,Mallorca,H,2024-2025,LaLiga
2024-10-05,Getafe,Osasuna,D,2024-2025,LaLiga
2024-10-05,Las Palmas,Celta,A,2024-2025,LaLiga
2024-10-05,Valladolid,Vallecano,A,2024-2025,LaLiga
2024-10-05,Real Madrid,Villarreal,H,2024-2025,LaLiga
2024-10-06,Girona,Ath Bilbao,H,2024-2025,LaLiga
2024-10-06,Alaves,Barcelona,A,2024-2025,LaLiga
2024-10-06,Sevilla,Betis,H,2024-2025,LaLiga
2024-10-06,Sociedad,Ath Madrid,D,2024-2025,LaLiga
2024-10-18,Alaves,Valladolid,A,2024-2025,LaLiga
2024-10-19,Ath Bilbao,Espanol,H,2024-2025,LaLiga
2024-10-19,Osasuna,Betis,A,2024-2025,LaLiga
2024-10-19,Girona,Sociedad,A,2024-2025,LaLiga
2024-10-19,Celta,Real Madrid,A,2024-2025,LaLiga
2024-10-20,Mallorca,Vallecano,H,2024-2025,LaLiga
2024-10-20,Ath Madrid,Leganes,H,2024-2025,LaLiga
2024-10-20,Villarreal,Getafe,D,2024-2025,LaLiga
2024-10-20,Barcelona,Sevilla,H,2024-2025,LaLiga
2024-10-21,Valencia,Las Palmas,A,2024-2025,LaLiga
2024-10-25,Espanol,Sevilla,A,2024-2025,LaLiga
2024-10-26,Valladolid,Villarreal,A,2024-2025,LaLiga
2024-10-26,Vallecano,Alaves,H,2024-2025,LaLiga
2024-10-26,Las Palmas,Girona,H,2024-2025,LaLiga
2024-10-26,Real Madrid,Barcelona,A,2024-2025,LaLiga
2024-10-27,Leganes,Celta,H,2024-2025,LaLiga
2024-10-27,Getafe,Valencia,D,2024-2025,LaLiga
2024-10-27,Betis,Ath Madrid,H,2024-2025,LaLiga
2024-10-27,Sociedad,Osasuna,A,2024-2025,LaLiga
2024-10-28,Mallorca,Ath Bilbao,D,2024-2025,LaLiga
2024-11-01,Alaves,Mallorca,H,2024-2025,LaLiga
2024-11-02,Osasuna,Valladolid,H,2024-2025,LaLiga
2024-11-02,Girona,Leganes,H,2024-2025,LaLiga
2024-11-03,Ath Madrid,Las Palmas,H,2024-2025,LaLiga
2024-11-03,Barcelona,Espanol,H,2024-2025,LaLiga
2024-11-03,Sevilla,Sociedad,A,2024-2025,LaLiga
2024-11-03,Ath Bilbao,Betis,D,2024-2025,LaLiga
2024-11-04,Celta,Getafe,H,2024-2025,LaLiga
2024-11-08,Vallecano,Las Palmas,A,2024-2025,LaLiga
2024-11-09,Real Madrid,Osasuna,H,2024-2025,LaLiga
2024-11-09,Villarreal,Alaves,H,2024-2025,LaLiga
2024-11-09,Leganes,Sevilla,H,2024-2025,LaLiga
2024-11-10,Betis,Celta,D,2024-2025,LaLiga
2024-11-10,Mallorca,Ath Madrid,A,2024-2025,LaLiga
2024-11-10,Getafe,Girona,A,2024-2025,LaLiga
2024-11-10,Valladolid,Ath Bilbao,D,2024-2025,LaLiga
2024-11-10,Sociedad,Barcelona,H,2024-2025,LaLiga
2024-11-22,Getafe,Valladolid,H,2024-2025,LaLiga
2024-11-23,Valencia,Betis,H,2024-2025,LaLiga
2024-11-23,Ath Madrid,Alaves,H,2024-2025,LaLiga
2024-11-23,Girona,Espanol,H,2024-2025,LaLiga
2024-11-23,Las Palmas,Mallorca,A,2024-2025,LaLiga
2024-11-23,Celta,Barcelona,D,2024-2025,LaLiga
2024-11-24,Osasuna,Villarreal,D,2024-2025,LaLiga
2024-11-24,Sevilla,Vallecano,H,2024-2025,LaLiga
2024-11-24,Leganes,Real Madrid,A,2024-2025,LaLiga
2024-11-24,Ath Bilbao,Sociedad,H,2024-2025,LaLiga
2024-11-29,Mallorca,Valencia,H,2024-2025,LaLiga
2024-11-30,Barcelona,Las Palmas,A,2024-2025,LaLiga
2024-11-30,Alaves,Leganes,D,2024-2025,LaLiga
2024-11-30,Espanol,Celta,H,2024-2025,LaLiga
2024-11-30,Valladolid,Ath Madrid,A,2024-2025,LaLiga
2024-12-01,Villarreal,Girona,D,2024-2025,LaLiga
2024-12-01,Real Madrid,Getafe,H,2024-2025,LaLiga
2024-12-01,Vallecano,Ath Bilbao,A,2024-2025,LaLiga
2024-12-01,Sociedad,Betis,H,2024-2025,LaLiga
2024-12-02,Sevilla,Osasuna,D,2024-2025,LaLiga
2024-12-03,Mallorca,Barcelona,A,2024-2025,LaLiga
2024-12-04,Ath Bilbao,Real Madrid,H,2024-2025,LaLiga
2024-12-06,Celta,Mallorca,H,2024-2025,LaLiga
2024-12-07,Las Palmas,Valladolid,H,2024-2025,LaLiga
2024-12-07,Betis,Barcelona,D,2024-2025,LaLiga
2024-12-07,Valencia,Vallecano,A,2024-2025,LaLiga
2024-12-07,Girona,Real Madrid,A,2024-2025,LaLiga
2024-12-08,Leganes,Sociedad,A,2024-2025,LaLiga
2024-12-08,Ath Bilbao,Villarreal,H,2024-2025,LaLiga
2024-12-08,Osasuna,Alaves,D,2024-2025,LaLiga
2024-12-08,Ath Madrid,Sevilla,H,2024-2025,LaLiga
2024-12-09,Getafe,Espanol,H,2024-2025,LaLiga
2024-12-13,Valladolid,Valencia,H,2024-2025,LaLiga
2024-12-14,Espanol,Osasuna,D,2024-2025,LaLiga
2024-12-14,Mallorca,Girona,H,2024-2025,LaLiga
2024-12-14,Sevilla,Celta,H,2024-2025,LaLiga
2024-12-14,Vallecano,Real Madrid,D,2024-2025,LaLiga
2024-12-15,Ath Madrid,Getafe,H,2024-2025,LaLiga
2024-12-15,Alaves,Ath Bilbao,D,2024-2025,LaLiga
